Výsledky

Výpočtový krok 1

-----------------------------------------------------------------------------
Job: ATENA, Openning output file: 3.11.2010 15:31:49
-----------------------------------------------------------------------------
Output data for request: PRINCIPAL_STRESS
Description: Principal Stress
  Step: 1  Iteration: 2 at Time: 1
-----------------------------------------------------------------------------------------------
Group Elem.    IP       Max.       Min.     vmax_x     vmax_y     vmin_x     vmin_y 
Units                    MPa        MPa          m          m          m          m 
    1     1     1  1.4465933 -0.0123030  0.9998159  0.0191867 -0.0191867  0.9998159 
    1     1     2  1.4475709 -0.0114498  0.9998771  0.0156778 -0.0156778  0.9998771 
    1     1     3  1.4651132 -0.0067652  0.9998176  0.0191005 -0.0191005  0.9998176 
    1     1     4  1.4653457 -0.0061146  0.9998801  0.0154880 -0.0154880  0.9998801 
    1     2     1  1.4351901 -0.0096177  0.9997741  0.0212528 -0.0212528  0.9997741 
    1     2     2  1.4180429 -0.0147650  0.9997696  0.0214673 -0.0214673  0.9997696 
    1     2     3  1.4365657 -0.0085806  0.9998460  0.0175486 -0.0175486  0.9998460 
    1     2     4  1.4196554 -0.0136624  0.9998419  0.0177808 -0.0177808  0.9998419 
    1     3     1  1.4405371 -0.0084955  0.9998711  0.0160557 -0.0160557  0.9998711 
    1     3     2  1.4395534 -0.0092485  0.9998047  0.0197637 -0.0197637  0.9998047 
    1     3     3  1.4242551 -0.0133761  0.9998697  0.0161452 -0.0161452  0.9998697 
    1     3     4  1.4228381 -0.0142563  0.9998029  0.0198528 -0.0198528  0.9998029 
    1     4     1  1.4511076 -0.0122319  0.9998988  0.0142254 -0.0142254  0.9998988 
    1     4     2  1.4681416 -0.0071116  0.9998957  0.0144417 -0.0144417  0.9998957 
    1     4     3  1.4506734 -0.0121021  0.9998357  0.0181291 -0.0181291  0.9998357 
    1     4     4  1.4682850 -0.0068168  0.9998339  0.0182273 -0.0182273  0.9998339 
    1     5     1  1.3899063 -0.0172107  0.9997235  0.0235146 -0.0235146  0.9997235 
    1     5     2  1.3921932 -0.0155857  0.9998058  0.0197070 -0.0197070  0.9998058 
    1     5     3  1.4068549 -0.0121215  0.9997308  0.0232035 -0.0232035  0.9997308 
    1     5     4  1.4088166 -0.0105842  0.9998123  0.0193759 -0.0193759  0.9998123 
    1     6     1  1.3786446 -0.0146916  0.9996811  0.0252543 -0.0252543  0.9996811 
    1     6     2  1.3621745 -0.0196329  0.9996726  0.0255869 -0.0255869  0.9996726 
    1     6     3  1.3812946 -0.0128005  0.9997728  0.0213147 -0.0213147  0.9997728 
    1     6     4  1.3651952 -0.0176468  0.9997649  0.0216830 -0.0216830  0.9997649 
    1     7     1  1.3873309 -0.0129694  0.9998084  0.0195740 -0.0195740  0.9998084 
    1     7     2  1.3850288 -0.0141195  0.9997263  0.0233946 -0.0233946  0.9997263 
    1     7     3  1.3720402 -0.0175483  0.9998075  0.0196221 -0.0196221  0.9998075 
    1     7     4  1.3694694 -0.0187711  0.9997261  0.0234054 -0.0234054  0.9997261 
    1     8     1  1.3978931 -0.0154402  0.9998396  0.0179116 -0.0179116  0.9998396 
    1     8     2  1.4137080 -0.0107008  0.9998410  0.0178300 -0.0178300  0.9998410 
    1     8     3  1.3958459 -0.0165137  0.9997658  0.0216431 -0.0216431  0.9997658 
    1     8     4  1.4120106 -0.0116746  0.9997671  0.0215799 -0.0215799  0.9997671 
    1     9     1  1.3466155 -0.0199267  0.9997737  0.0212730 -0.0212730  0.9997737 
    1     9     2  1.3613876 -0.0155024  0.9997722  0.0213422 -0.0213422  0.9997722 
    1     9     3  1.3437391 -0.0210273  0.9996848  0.0251042 -0.0251042  0.9996848 
    1     9     4  1.3586629 -0.0165645  0.9996815  0.0252355 -0.0252355  0.9996815 
    1    10     1  1.3353025 -0.0220185  0.9996158  0.0277183 -0.0277183  0.9996158 
    1    10     2  1.3388942 -0.0196794  0.9997188  0.0237139 -0.0237139  0.9997188 
    1    10     3  1.3509215 -0.0173448  0.9996250  0.0273826 -0.0273826  0.9996250 
    1    10     4  1.3543292 -0.0150316  0.9997283  0.0233078 -0.0233078  0.9997283 
    1    11     1  1.3244432 -0.0201191  0.9995626  0.0295753 -0.0295753  0.9995626 
    1    11     2  1.3102991 -0.0243332  0.9995559  0.0298004 -0.0298004  0.9995559 
    1    11     3  1.3281723 -0.0177661  0.9996791  0.0253322 -0.0253322  0.9996791 
