Výsledky

Výpočtový krok 1

-----------------------------------------------------------------------------
Job: ATENA, Openning output file: 3.11.2010 15:31:27
-----------------------------------------------------------------------------
Output data for request: STRESS
Description: Stress
  Step: 1  Iteration: 2 at Time: 1
-----------------------------------------------------------------------------------------------
Group Elem.    IP   sigma_xx   sigma_yy     tau_xy 
Units                    MPa        MPa        MPa 
    1     1     1  1.4460562 -0.0117659  0.0279863 
    1     1     2  1.4472123 -0.0110911  0.0228715 
    1     1     3  1.4645762 -0.0062282  0.0281084 
    1     1     4  1.4649927 -0.0057616  0.0227872 
    1     2     1  1.4345376 -0.0089651  0.0306993 
    1     2     2  1.4173826 -0.0141047  0.0307514 
    1     2     3  1.4361207 -0.0081355  0.0253564 
    1     2     4  1.4192022 -0.0132092  0.0254815 
    1     3     1  1.4401636 -0.0081219  0.0232622 
    1     3     2  1.4389875 -0.0086826  0.0286281 
    1     3     3  1.4238803 -0.0130014  0.0232078 
    1     3     4  1.4222717 -0.0136899  0.0285247 
    1     4     1  1.4508115 -0.0119358  0.0208144 
    1     4     2  1.4678339 -0.0068039  0.0213029 
    1     4     3  1.4501926 -0.0116214  0.0265145 
    1     4     4  1.4677949 -0.0063267  0.0268827 
    1     5     1  1.3891283 -0.0164326  0.0330786 
    1     5     2  1.3916464 -0.0150389  0.0277377 
    1     5     3  1.4060909 -0.0113575  0.0329164 
    1     5     4  1.4082837 -0.0100513  0.0274970 
    1     6     1  1.3777559 -0.0138029  0.0351764 
    1     6     2  1.3612699 -0.0187282  0.0353446 
    1     6     3  1.3806612 -0.0121672  0.0297079 
    1     6     4  1.3645451 -0.0169967  0.0299771 
    1     7     1  1.3867944 -0.0124329  0.0274042 
    1     7     2  1.3842631 -0.0133537  0.0327236 
    1     7     3  1.3715052 -0.0170133  0.0272614 
    1     7     4  1.3687089 -0.0180106  0.0324835 
    1     8     1  1.3974396 -0.0149867  0.0253110 
    1     8     2  1.4132551 -0.0102479  0.0253932 
    1     8     3  1.3951843 -0.0158521  0.0305607 
    1     8     4  1.4113476 -0.0110116  0.0307158 
    1     9     1  1.3459971 -0.0193083  0.0290639 
    1     9     2  1.3607604 -0.0148752  0.0293791 
    1     9     3  1.3428790 -0.0201672  0.0342506 
    1     9     4  1.3577871 -0.0156888  0.0346935 
    1    10     1  1.3342597 -0.0209757  0.0376082 
    1    10     2  1.3381302 -0.0189154  0.0322080 
    1    10     3  1.3498956 -0.0163189  0.0374527 
    1    10     4  1.3535853 -0.0142877  0.0319081 
    1    11     1  1.3232671 -0.0189430  0.0397484 
    1    11     2  1.3091138 -0.0231479  0.0397549 
    1    11     3  1.3273085 -0.0169024  0.0340846 
    1    11     4  1.3127828 -0.0212487  0.0342980 
    1    12     1  1.3350361 -0.0177882  0.0312029 
    1    12     2  1.3318971 -0.0179485  0.0365908 
    1    12     3  1.3206159 -0.0221738  0.0305087 
    1    12     4  1.3175352 -0.0223406  0.0357303 
    1    13     1  1.3397060 -0.0173968  0.0335334 
    1    13     2  1.3258777 -0.0217744  0.0322145 
    1    13     3  1.3422845 -0.0181522  0.0285755 
    1    13     4  1.3286983 -0.0224225  0.0273814 
    1    14     1  1.3492003 -0.0183927  0.0258525 
    1    14     2  1.3470161 -0.0169495  0.0304258 
    1    14     3  1.3363580 -0.0225792  0.0243397 
    1    14     4  1.3338401 -0.0212607  0.0288378 
    1    15     1  1.3596332 -0.0197212  0.0232690 
    1    15     2  1.3733389 -0.0154587  0.0243268 
    1    15     3  1.3573196 -0.0191315  0.0280833 
    1    15     4  1.3712844 -0.0147787  0.0291980 
    1    16     1  1.3504178 -0.0195938  0.0310806 
    1    16     2  1.3530179 -0.0196281  0.0260727 
    1    16     3  1.3648758 -0.0151661  0.0319558 
    1    16     4  1.3672647 -0.0152788  0.0268496 
    1    17     1  1.3141018 -0.0260870  0.0252957 
    1    17     2  1.3254609 -0.0218565  0.0275292 
    1    17     3  1.3114117 -0.0233969  0.0290214 
