          x          y   sigma_xx   sigma_yy   sigma_xy
  2.4875000  0.0115000  0.0001761  0.0001554  0.0001747
  2.4750000  0.0115000  0.0004894  0.0001732  0.0003892
  2.4750000  0.0000000  0.0003866  0.0000549  0.0001942
  2.4875000  0.0000000  0.0000919  0.0000481  0.0000716
  2.5000000  0.0000000  0.0000073  0.0000039  0.0000141
  2.5000000  0.0115000  0.0000543  0.0000725  0.0000682
  2.5000000  0.0229000  0.0000609  0.0003089  0.0001840
  2.4875000  0.0229000  0.0001865  0.0004216  0.0003770
  2.4750000  0.0229000  0.0004625  0.0004309  0.0007346
  2.4625000  0.0114000  0.0009860  0.0001446  0.0005910
  2.4625000  0.0229000  0.0008429  0.0003625  0.0010509
  2.4500000  0.0228000  0.0012986  0.0002896  0.0013135
  2.4500000  0.0114000  0.0016453  0.0001152  0.0007582
  2.4500000  0.0000000  0.0017758  0.0000469  0.0004078
  2.4625000  0.0000000  0.0009588  0.0000467  0.0003120
  2.4624000  0.0343000  0.0005725  0.0006484  0.0013650
  2.4499000  0.0342000  0.0008417  0.0005168  0.0016592
  2.4749000  0.0344000  0.0003243  0.0007730  0.0009978
  2.4749000  0.0459000  0.0001590  0.0011552  0.0011560
  2.4624000  0.0458000  0.0002698  0.0009492  0.0015344
  2.4499000  0.0456000  0.0003672  0.0007449  0.0018194
  2.4875000  0.0344000  0.0001327  0.0008205  0.0005472
  2.5000000  0.0344000  0.0000439  0.0007600  0.0002878
  2.5000000  0.0460000  0.0000277  0.0013715  0.0003537
  2.4874000  0.0459000  0.0000661  0.0013156  0.0006545
  2.4623000  0.0572000 -0.0000092  0.0012371  0.0015696
  2.4498000  0.0570000 -0.0000606  0.0009448  0.0018201
  2.4748000  0.0574000  0.0000065  0.0015467  0.0012062
  2.4747000  0.0689000 -0.0001187  0.0019196  0.0011612
  2.4622000  0.0687000 -0.0002385  0.0014879  0.0014891
  2.4497000  0.0684000 -0.0004085  0.0010961  0.0016925
  2.4874000  0.0575000  0.0000057  0.0018612  0.0006923
  2.5000000  0.0575000  0.0000165  0.0020686  0.0003771
  2.5000000  0.0692000  0.0000116  0.0027772  0.0003670
  2.4873000  0.0691000 -0.0000429  0.0024083  0.0006714
  2.4619000  0.0801000 -0.0004115  0.0016903  0.0013181
  2.4495000  0.0798000 -0.0006671  0.0011935  0.0014709
  2.4745000  0.0805000 -0.0002112  0.0022487  0.0010397
  2.4741000  0.0921000 -0.0002753  0.0025087  0.0008625
  2.4616000  0.0915000 -0.0005321  0.0018324  0.0010864
  2.4492000  0.0910000 -0.0008412  0.0012373  0.0011899
  2.4872000  0.0808000 -0.0000772  0.0029173  0.0006034
  2.5000000  0.0809000  0.0000126  0.0034474  0.0003304
  2.5000000  0.0930000  0.0000215  0.0040359  0.0002781
  2.4869000  0.0927000 -0.0000985  0.0033518  0.0005006
  2.4611000  0.1026000 -0.0006142  0.0019121  0.0008263
  2.4489000  0.1021000 -0.0009380  0.0012355  0.0008826
  2.4733000  0.1035000 -0.0003268  0.0026649  0.0006638
  2.4722000  0.1141000 -0.0003886  0.0027106  0.0004683
  2.4606000  0.1134000 -0.0006483  0.0019399  0.0005601
  2.4487000  0.1131000 -0.0009666  0.0012020  0.0005677
  2.4862000  0.1052000 -0.0001293  0.0036937  0.0003636
  2.5000000  0.1057000  0.0000227  0.0045515  0.0001852
  2.5000000  0.1240000 -0.0000197  0.0046483  0.0001057
  2.4834000  0.1165000 -0.0001706  0.0037828  0.0003139
  2.4604000  0.1239000 -0.0006342  0.0019431  0.0002829
  2.4486000  0.1239000 -0.0009456  0.0011552  0.0002566
  2.4717000  0.1240000 -0.0003881  0.0027339  0.0002622
  2.4722000  0.1338000 -0.0003659  0.0028109  0.0000523
  2.4606000  0.1345000 -0.0006077  0.0019465  0.0000176
  2.4487000  0.1348000 -0.0008937  0.0011098 -0.0000347
  2.4805000  0.1240000 -0.0002105  0.0036018  0.0001977
  2.4834000  0.1314000 -0.0001572  0.0039600  0.0000053
  2.4611000  0.1453000 -0.0005521  0.0019428 -0.0002212
  2.4489000  0.1458000 -0.0008199  0.0010685 -0.0002996
  2.4733000  0.1444000 -0.0002982  0.0028792 -0.0001425
  2.4741000  0.1559000 -0.0002512  0.0028591 -0.0003304
  2.4616000  0.1565000 -0.0004786  0.0019063 -0.0004471
  2.4492000  0.1569000 -0.0007286  0.0010265 -0.0005398
  2.4862000  0.1428000 -0.0001265  0.0040553 -0.0000644
  2.4869000  0.1553000 -0.0000918  0.0039779 -0.0001863
  2.5000000  0.1422000  0.0000148  0.0049664 -0.0000066
  2.5000000  0.1550000  0.0000347  0.0048544 -0.0001026
  2.4872000  0.1673000 -0.0000800  0.0038049 -0.0002879
  2.5000000  0.1672000  0.0000297  0.0046062 -0.0001559
  2.5000000  0.1791000  0.0000270  0.0042621 -0.0002007
  2.4873000  0.1792000 -0.0000685  0.0035401 -0.0003736
  2.4747000  0.1793000 -0.0001832  0.0025829 -0.0006515
  2.4745000  0.1676000 -0.0002161  0.0027533 -0.0005044
  2.4619000  0.1680000 -0.0004108  0.0018326 -0.0006563
  2.4495000  0.1683000 -0.0006308  0.0009774 -0.0007576
  2.4621000  0.1796000 -0.0003464  0.0017278 -0.0008387
  2.4497000  0.1798000 -0.0005324  0.0009220 -0.0009495
  2.4623000  0.1912000 -0.0002793  0.0015927 -0.0009903
  2.4498000  0.1913000 -0.0004304  0.0008612 -0.0011125
  2.4748000  0.1911000 -0.0001482  0.0023613 -0.0007728
  2.4749000  0.2028000 -0.0001088  0.0020978 -0.0008682
  2.4624000  0.2029000 -0.0002054  0.0014329 -0.0011095
  2.4499000  0.2030000 -0.0003187  0.0007919 -0.0012419
  2.4874000  0.1910000 -0.0000559  0.0032057 -0.0004439
  2.4874000  0.2028000 -0.0000416  0.0028158 -0.0004996
  2.5000000  0.1909000  0.0000245  0.0038369 -0.0002382
  2.5000000  0.2027000  0.0000219  0.0033441 -0.0002685
  2.4875000  0.2147000 -0.0000238  0.0023854 -0.0005350
  2.5000000  0.2146000  0.0000199  0.0027996 -0.0002872
  2.5000000  0.2266000  0.0000177  0.0022211 -0.0002961
  2.4875000  0.2266000 -0.0000027  0.0019300 -0.0005494
  2.4750000  0.2266000 -0.0000073  0.0014983 -0.0009566
  2.4749000  0.2147000 -0.0000628  0.0018090 -0.0009303
  2.4624000  0.2148000 -0.0001198  0.0012565 -0.0011902
  2.4499000  0.2148000 -0.0001892  0.0007133 -0.0013336
  2.4625000  0.2266000 -0.0000168  0.0010629 -0.0012270
  2.4499000  0.2267000 -0.0000352  0.0006241 -0.0013813
  2.4625000  0.2387000  0.0001072  0.0008619 -0.0012095
  2.4500000  0.2387000  0.0001506  0.0005238 -0.0013736
  2.4750000  0.2386000  0.0000610  0.0011824 -0.0009374
  2.4750000  0.2507000  0.0001428  0.0008694 -0.0008635
  2.4625000  0.2507000  0.0002548  0.0006510 -0.0011289
  2.4500000  0.2507000  0.0003715  0.0004090 -0.0012994
  2.4875000  0.2386000  0.0000240  0.0014693 -0.0005370
  2.5000000  0.2386000  0.0000186  0.0016374 -0.0002897
  2.5000000  0.2507000  0.0000224  0.0010816 -0.0002632
  2.4875000  0.2507000  0.0000567  0.0010277 -0.0004900
  2.4625000  0.2630000  0.0004188  0.0004439 -0.0009752
  2.4500000  0.2630000  0.0006187  0.0002860 -0.0011452
  2.4750000  0.2630000  0.0002351  0.0005784 -0.0007280
  2.4750000  0.2752000  0.0003172  0.0003216 -0.0005289
  2.4625000  0.2753000  0.0005729  0.0002497 -0.0007398
  2.4500000  0.2752000  0.0008697  0.0001630 -0.0008924
  2.4875000  0.2630000  0.0000946  0.0006375 -0.0004030
  2.5000000  0.2630000  0.0000308  0.0006025 -0.0002126
  2.5000000  0.2752000  0.0000413  0.0002471 -0.0001356
  2.4875000  0.2753000  0.0001276  0.0003242 -0.0002748
  2.4625000  0.2876000  0.0006560  0.0001012 -0.0004154
  2.4500000  0.2876000  0.0010727  0.0000661 -0.0005144
  2.4750000  0.2876000  0.0003309  0.0001305 -0.0002791
  2.4750000  0.3000000  0.0002578  0.0000426 -0.0001390
  2.4625000  0.3000000  0.0006338  0.0000340 -0.0002211
  2.4500000  0.3000000  0.0011560  0.0000282 -0.0002793
  2.4375000  0.2876000  0.0015505  0.0000318 -0.0005717
  2.4375000  0.2753000  0.0011876  0.0000753 -0.0009779
  2.4375000  0.3000000  0.0017743  0.0000262 -0.0003137
  2.4250000  0.3000000  0.0024407  0.0000264 -0.0003257
  2.4250000  0.2876000  0.0020566 -0.0000006 -0.0005887
  2.4250000  0.2753000  0.0015073 -0.0000106 -0.0009949
  2.4375000  0.2630000  0.0008185  0.0001229 -0.0012327
  2.4250000  0.2630000  0.0010035 -0.0000411 -0.0012333
  2.4250000  0.2508000  0.0005638 -0.0000982 -0.0013530
  2.4375000  0.2508000  0.0004777  0.0001587 -0.0013757
  2.4125000  0.2630000  0.0011567 -0.0002088 -0.0011421
