Výsledky

Výpočtový krok 2

-----------------------------------------------------------------------------
Job: ATENA, Openning output file: 14.2.2013 15:39:14
-----------------------------------------------------------------------------
Output data for request: REFERENCE_NODAL_COORDINATES
Description: Reference nodal coordinates
  Step: 2  Iteration: 2 at Time: 2
-----------------------------------------------------------------------------------------------
 Node       X(1)       X(2)
Units          m          m
    1  2.4875000  0.0115000
    2  2.4750000  0.0115000
    3  2.4750000  0.00e+000
    4  2.4875000  0.00e+000
    5  2.5000000  0.00e+000
    6  2.5000000  0.0115000
    7  2.5000000  0.0229000
    8  2.4875000  0.0229000
    9  2.4750000  0.0229000
   10  2.4625000  0.0114000
   11  2.4625000  0.0229000
   12  2.4500000  0.0228000
   13  2.4500000  0.0114000
   14  2.4500000  0.00e+000
   15  2.4625000  0.00e+000
   16  2.4624000  0.0343000
   17  2.4499000  0.0342000
   18  2.4749000  0.0344000
   19  2.4749000  0.0459000
   20  2.4624000  0.0458000
   21  2.4499000  0.0456000
   22  2.4875000  0.0344000
   23  2.5000000  0.0344000
   24  2.5000000  0.0460000
   25  2.4874000  0.0459000
   26  2.4623000  0.0572000
   27  2.4498000  0.0570000
   28  2.4748000  0.0574000
   29  2.4747000  0.0689000
   30  2.4622000  0.0687000
   31  2.4497000  0.0684000
   32  2.4874000  0.0575000
   33  2.5000000  0.0575000
   34  2.5000000  0.0692000
   35  2.4873000  0.0691000
   36  2.4619000  0.0801000
   37  2.4495000  0.0798000
   38  2.4745000  0.0805000
   39  2.4741000  0.0921000
   40  2.4616000  0.0915000
   41  2.4492000  0.0910000
   42  2.4872000  0.0808000
   43  2.5000000  0.0809000
   44  2.5000000  0.0930000
   45  2.4869000  0.0927000
   46  2.4611000  0.1026000
   47  2.4489000  0.1021000
   48  2.4733000  0.1035000
   49  2.4722000  0.1141000
   50  2.4606000  0.1134000
   51  2.4487000  0.1131000
   52  2.4862000  0.1052000
   53  2.5000000  0.1057000
   54  2.5000000  0.1240000
   55  2.4834000  0.1165000
   56  2.4604000  0.1239000
   57  2.4486000  0.1239000
   58  2.4717000  0.1240000
   59  2.4722000  0.1338000
   60  2.4606000  0.1345000
   61  2.4487000  0.1348000
   62  2.4805000  0.1240000
   63  2.4834000  0.1314000
   64  2.4611000  0.1453000
   65  2.4489000  0.1458000
   66  2.4733000  0.1444000
   67  2.4741000  0.1559000
   68  2.4616000  0.1565000
   69  2.4492000  0.1569000
   70  2.4862000  0.1428000
   71  2.4869000  0.1553000
   72  2.5000000  0.1422000
   73  2.5000000  0.1550000
   74  2.4872000  0.1673000
   75  2.5000000  0.1672000
   76  2.5000000  0.1791000
   77  2.4873000  0.1792000
   78  2.4747000  0.1793000
   79  2.4745000  0.1676000
   80  2.4619000  0.1680000
   81  2.4495000  0.1683000
   82  2.4621000  0.1796000
   83  2.4497000  0.1798000
   84  2.4623000  0.1912000
   85  2.4498000  0.1913000
   86  2.4748000  0.1911000
   87  2.4749000  0.2028000
   88  2.4624000  0.2029000
   89  2.4499000  0.2030000
   90  2.4874000  0.1910000
   91  2.4874000  0.2028000
   92  2.5000000  0.1909000
   93  2.5000000  0.2027000
   94  2.4875000  0.2147000
   95  2.5000000  0.2146000
   96  2.5000000  0.2266000
   97  2.4875000  0.2266000
   98  2.4750000  0.2266000
   99  2.4749000  0.2147000
  100  2.4624000  0.2148000
  101  2.4499000  0.2148000
  102  2.4625000  0.2266000
  103  2.4499000  0.2267000
  104  2.4625000  0.2387000
  105  2.4500000  0.2387000
  106  2.4750000  0.2386000
  107  2.4750000  0.2507000
  108  2.4625000  0.2507000
  109  2.4500000  0.2507000
  110  2.4875000  0.2386000
  111  2.5000000  0.2386000
  112  2.5000000  0.2507000
  113  2.4875000  0.2507000
  114  2.4625000  0.2630000
  115  2.4500000  0.2630000
  116  2.4750000  0.2630000
  117  2.4750000  0.2752000
  118  2.4625000  0.2753000
  119  2.4500000  0.2752000
  120  2.4875000  0.2630000
  121  2.5000000  0.2630000
  122  2.5000000  0.2752000
  123  2.4875000  0.2753000
  124  2.4625000  0.2876000
  125  2.4500000  0.2876000
  126  2.4750000  0.2876000
  127  2.4750000  0.3000000
