Výsledky

Výpočtový krok 2

-----------------------------------------------------------------------------
Job: ATENA, Openning output file: 14.2.2013 15:38:16
-----------------------------------------------------------------------------
Output data for request: STRESS
Description: Stress
  Step: 2  Iteration: 2 at Time: 2
-----------------------------------------------------------------------------------------------
 Node   sigma_xx   sigma_yy     tau_xy
Units        MPa        MPa        MPa
    1  0.0001761  0.0001554  0.0001747
    2  0.0004894  0.0001732  0.0003892
    3  0.0003866  0.0000549  0.0001942
    4  0.0000919  0.0000481  0.0000716
    5  7.28e-006  3.93e-006  0.0000141
    6  0.0000543  0.0000725  0.0000682
    7  0.0000609  0.0003089  0.0001840
    8  0.0001865  0.0004216  0.0003770
    9  0.0004625  0.0004309  0.0007346
   10  0.0009860  0.0001446  0.0005910
   11  0.0008429  0.0003625  0.0010509
   12  0.0012986  0.0002896  0.0013135
   13  0.0016453  0.0001152  0.0007582
   14  0.0017758  0.0000469  0.0004078
   15  0.0009588  0.0000467  0.0003120
   16  0.0005725  0.0006484  0.0013650
   17  0.0008417  0.0005168  0.0016592
   18  0.0003243  0.0007730  0.0009978
   19  0.0001590  0.0011552  0.0011560
   20  0.0002698  0.0009492  0.0015344
   21  0.0003672  0.0007449  0.0018194
   22  0.0001327  0.0008205  0.0005472
   23  0.0000439  0.0007600  0.0002878
   24  0.0000277  0.0013715  0.0003537
   25  0.0000661  0.0013156  0.0006545
   26 -9.19e-006  0.0012371  0.0015696
   27 -0.0000606  0.0009448  0.0018201
   28  6.48e-006  0.0015467  0.0012062
   29 -0.0001187  0.0019196  0.0011612
   30 -0.0002385  0.0014879  0.0014891
   31 -0.0004085  0.0010961  0.0016925
   32  5.72e-006  0.0018612  0.0006923
   33  0.0000165  0.0020686  0.0003771
   34  0.0000116  0.0027772  0.0003670
   35 -0.0000429  0.0024083  0.0006714
   36 -0.0004115  0.0016903  0.0013181
   37 -0.0006671  0.0011935  0.0014709
   38 -0.0002112  0.0022487  0.0010397
   39 -0.0002753  0.0025087  0.0008625
   40 -0.0005321  0.0018324  0.0010864
   41 -0.0008412  0.0012373  0.0011899
   42 -0.0000772  0.0029173  0.0006034
   43  0.0000126  0.0034474  0.0003304
   44  0.0000215  0.0040359  0.0002781
   45 -0.0000985  0.0033518  0.0005006
   46 -0.0006142  0.0019121  0.0008263
   47 -0.0009380  0.0012355  0.0008826
   48 -0.0003268  0.0026649  0.0006638
   49 -0.0003886  0.0027106  0.0004683
   50 -0.0006483  0.0019399  0.0005601
   51 -0.0009666  0.0012020  0.0005677
   52 -0.0001293  0.0036937  0.0003636
   53  0.0000227  0.0045515  0.0001852
   54 -0.0000197  0.0046483  0.0001057
   55 -0.0001706  0.0037828  0.0003139
   56 -0.0006342  0.0019431  0.0002829
   57 -0.0009456  0.0011552  0.0002566
   58 -0.0003881  0.0027339  0.0002622
   59 -0.0003659  0.0028109  0.0000523
   60 -0.0006077  0.0019465  0.0000176
   61 -0.0008937  0.0011098 -0.0000347
   62 -0.0002105  0.0036018  0.0001977
   63 -0.0001572  0.0039600  5.28e-006
   64 -0.0005521  0.0019428 -0.0002212
   65 -0.0008199  0.0010685 -0.0002996
   66 -0.0002982  0.0028792 -0.0001425
   67 -0.0002512  0.0028591 -0.0003304
   68 -0.0004786  0.0019063 -0.0004471
   69 -0.0007286  0.0010265 -0.0005398
   70 -0.0001265  0.0040553 -0.0000644
   71 -0.0000918  0.0039779 -0.0001863
   72  0.0000148  0.0049664 -6.60e-006
   73  0.0000347  0.0048544 -0.0001026
   74 -0.0000800  0.0038049 -0.0002879
   75  0.0000297  0.0046062 -0.0001559
   76  0.0000270  0.0042621 -0.0002007
   77 -0.0000685  0.0035401 -0.0003736
   78 -0.0001832  0.0025829 -0.0006515
   79 -0.0002161  0.0027533 -0.0005044
   80 -0.0004108  0.0018326 -0.0006563
   81 -0.0006308  0.0009774 -0.0007576
   82 -0.0003464  0.0017278 -0.0008387
   83 -0.0005324  0.0009220 -0.0009495
   84 -0.0002793  0.0015927 -0.0009903
   85 -0.0004304  0.0008612 -0.0011125
   86 -0.0001482  0.0023613 -0.0007728
   87 -0.0001088  0.0020978 -0.0008682
   88 -0.0002054  0.0014329 -0.0011095
   89 -0.0003187  0.0007919 -0.0012419
   90 -0.0000559  0.0032057 -0.0004439
   91 -0.0000416  0.0028158 -0.0004996
   92  0.0000245  0.0038369 -0.0002382
   93  0.0000219  0.0033441 -0.0002685
   94 -0.0000238  0.0023854 -0.0005350
   95  0.0000199  0.0027996 -0.0002872
   96  0.0000177  0.0022211 -0.0002961
   97 -2.67e-006  0.0019300 -0.0005494
   98 -7.27e-006  0.0014983 -0.0009566
   99 -0.0000628  0.0018090 -0.0009303
  100 -0.0001198  0.0012565 -0.0011902
  101 -0.0001892  0.0007133 -0.0013336
  102 -0.0000168  0.0010629 -0.0012270
  103 -0.0000352  0.0006241 -0.0013813
  104  0.0001072  0.0008619 -0.0012095
  105  0.0001506  0.0005238 -0.0013736
  106  0.0000610  0.0011824 -0.0009374
  107  0.0001428  0.0008694 -0.0008635
  108  0.0002548  0.0006510 -0.0011289
  109  0.0003715  0.0004090 -0.0012994
  110  0.0000240  0.0014693 -0.0005370
  111  0.0000186  0.0016374 -0.0002897
  112  0.0000224  0.0010816 -0.0002632
  113  0.0000567  0.0010277 -0.0004900
  114  0.0004188  0.0004439 -0.0009752
  115  0.0006187  0.0002860 -0.0011452
  116  0.0002351  0.0005784 -0.0007280
  117  0.0003172  0.0003216 -0.0005289
  118  0.0005729  0.0002497 -0.0007398
  119  0.0008697  0.0001630 -0.0008924
  120  0.0000946  0.0006375 -0.0004030
  121  0.0000308  0.0006025 -0.0002126
  122  0.0000413  0.0002471 -0.0001356
  123  0.0001276  0.0003242 -0.0002748
  124  0.0006560  0.0001012 -0.0004154
  125  0.0010727  0.0000661 -0.0005144
  126  0.0003309  0.0001305 -0.0002791
  127  0.0002578  0.0000426 -0.0001390
  128  0.0006338  0.0000340 -0.0002211
  129  0.0011560  0.0000282 -0.0002793
  130  0.0015505  0.0000318 -0.0005717
  131  0.0011876  0.0000753 -0.0009779
  132  0.0017743  0.0000262 -0.0003137
  133  0.0024407  0.0000264 -0.0003257
  134  0.0020566 -5.97e-007 -0.0005887
  135  0.0015073 -0.0000106 -0.0009949
  136  0.0008185  0.0001229 -0.0012327
  137  0.0010035 -0.0000411 -0.0012333
  138  0.0005638 -0.0000982 -0.0013530
  139  0.0004777  0.0001587 -0.0013757
  140  0.0011567 -0.0002088 -0.0011421
  141  0.0018035 -0.0000969 -0.0009415
  142  0.0020485 -0.0001865 -0.0008148
  143  0.0012588 -0.0003849 -0.0009527
  144  0.0006264 -0.0006500 -0.0009784
  145  0.0006179 -0.0003658 -0.0012236
  146  0.0025536 -0.0000324 -0.0005664
  147  0.0030050 -0.0000650 -0.0005041
  148  0.0031103  0.0000280 -0.0003169
  149  0.0037399  0.0000299 -0.0002873
  150  0.0033719 -0.0000995 -0.0003999
  151  0.0022117 -0.0002817 -0.0006103
  152  0.0042854  0.0000312 -0.0002363
  153  0.0047009  0.0000315 -0.0001625
  154  0.0036129 -0.0001364 -0.0002509
  155  0.0022591 -0.0003838 -0.0003226
  156  0.0012864 -0.0005732 -0.0006575
  157  0.0012127 -0.0007758 -0.0002476
  158  0.0004366 -0.0012873 -0.0000942
  159  0.0005728 -0.0009563 -0.0006060
  160  0.0010075 -0.0009926  0.0002859
  161  0.0021537 -0.0004929  0.0000543
  162  0.0018562 -0.0006078  0.0005258
  163  0.0006377 -0.0012208  0.0009507
  164 -0.0001846 -0.0020174  0.0013957
  165  0.0001934 -0.0016426  0.0005694
  166  0.0036839 -0.0001759 -0.0000542
  167  0.0035380 -0.0002175  0.0001932
  168  0.0049371  0.0000303 -0.0000643
  169  0.0049415  0.0000275  0.0000600
  170  0.0031259 -0.0002603  0.0004933
  171  0.0013252 -0.0007259  0.0010957
  172  0.0046584  0.0000229  0.0002115
  173  0.0040310  0.0000164  0.0003905
  174  0.0023975 -0.0003030  0.0008468
  175  0.0005181 -0.0008434  0.0017648
  176  0.0000677 -0.0014555  0.0017525
  177 -0.0007396 -0.0016890  0.0026929
  178 -0.0014734 -0.0027883  0.0035635
  179 -0.0007290 -0.0024036  0.0023926
  180 -0.0018219 -0.0019118  0.0037686
  181 -0.0006071 -0.0009555  0.0025306
  182 -0.0020904 -0.0010567  0.0033860
  183 -0.0032149 -0.0021129  0.0049701
  184 -0.0037031 -0.0034948  0.0064103
  185 -0.0024538 -0.0031578  0.0049067
  186  0.0013030 -0.0003437  0.0012524
  187 -0.0002048 -0.0003807  0.0017064
  188  0.0030023  8.09e-006  0.0005965
  189  0.0015179 -1.92e-006  0.0008277
  190 -0.0021718 -0.0004127  0.0022051
  191 -0.0039695 -0.0011418  0.0043200
  192 -0.0004715 -0.0000126  0.0010811
  193 -0.0030057 -0.0000252  0.0013504
  194 -0.0046268 -0.0004366  0.0027384
  195 -0.0062710 -0.0012075  0.0053198
  196 -0.0049519 -0.0022848  0.0062851
  197 -0.0070621 -0.0024181  0.0076935
  198 -0.0071359 -0.0039948  0.0098150
  199 -0.0052534 -0.0037779  0.0080540
  200 -0.0095604 -0.0024955  0.0091559
  201 -0.0093626 -0.0041259  0.0116508
  202 -0.0090232 -0.0012462  0.0063584
  203 -0.0122322 -0.0012605  0.0074284
  204 -0.0124657 -0.0025222  0.0106575
  205 -0.0119593 -0.0041677  0.0135277
  206 -0.0076018 -0.0004500  0.0032916
  207 -0.0061175 -0.0000396  0.0016351
  208 -0.0098253 -0.0000519  0.0019224
  209 -0.0111129 -0.0004560  0.0038619
  210 -0.0157811 -0.0024881  0.0121467
  211 -0.0159058 -0.0012400  0.0084836
  212 -0.0200439 -0.0011959  0.0095152
  213 -0.0195026 -0.0023989  0.0135957
  214 -0.0182573 -0.0039610  0.0172130
  215 -0.0149268 -0.0041101  0.0153950
  216 -0.0151596 -0.0004501  0.0044305
  217 -0.0197377 -0.0004314  0.0049782
  218 -0.0141326 -0.0000683  0.0022101
  219 -0.0190329 -0.0000857  0.0024911
  220 -0.0248361 -0.0004050  0.0054974
  221 -0.0245071 -0.0001004  0.0027610
  222 -0.0305178 -0.0001187  0.0030056
  223 -0.0304171 -0.0003729  0.0059880
  224 -0.0296258 -0.0010364  0.0114245
  225 -0.0246219 -0.0011247  0.0104961
  226 -0.0236117 -0.0022542  0.0149701
  227 -0.0280973 -0.0020758  0.0162630
  228 -0.0259577 -0.0034334  0.0205603
  229 -0.0219396 -0.0037279  0.0189423
  230 -0.0329216 -0.0018658  0.0174353
  231 -0.0302699 -0.0030841  0.0220341
  232 -0.0350143 -0.0009293  0.0122545
  233 -0.0407575 -0.0008142  0.0129991
  234 -0.0380489 -0.0016339  0.0184804
  235 -0.0348534 -0.0027017  0.0233371
  236 -0.0364416 -0.0003317  0.0064241
  237 -0.0370216 -0.0001400  0.0032338
  238 -0.0439697 -0.0001589  0.0034325
  239 -0.0428785 -0.0002899  0.0068123
  240 -0.0434508 -0.0013945  0.0193902
  241 -0.0468093 -0.0006944  0.0136451
  242 -0.0531292 -0.0005760  0.0141901
  243 -0.0490841 -0.0011570  0.0201562
  244 -0.0446934 -0.0019220  0.0254336
  245 -0.0396740 -0.0023100  0.0244725
  246 -0.0496641 -0.0002466  0.0071516
  247 -0.0567542 -0.0002030  0.0074370
  248 -0.0513036 -0.0001819  0.0036034
  249 -0.0589643 -0.0002061  0.0037465
  250 -0.0640974 -0.0001616  0.0076692
  251 -0.0596767 -0.0004612  0.0146374
  252 -0.0668952 -0.0002325  0.0038625
  253 -0.0750414 -0.0002597  0.0039533
  254 -0.0716456 -0.0001244  0.0078527
  255 -0.0664095 -0.0003547  0.0149870
  256 -0.0549195 -0.0009266  0.0207809
  257 -0.0609270 -0.0007233  0.0212822
  258 -0.0552129 -0.0012153  0.0268488
  259 -0.0498798 -0.0015512  0.0262149
  260 -0.0670434 -0.0005366  0.0216660
  261 -0.0732965 -0.0002601  0.0152490
  262 -0.0802947 -0.0001816  0.0154492
  263 -0.0732817 -0.0003778  0.0219640
  264 -0.0661507 -0.0006420  0.0276921
  265 -0.0606307 -0.0009036  0.0273279
  266 -0.0793551 -0.0000882  0.0079917
  267 -0.0871848 -0.0000605  0.0080888
  268 -0.0833518 -0.0002892  0.0040200
  269 -0.0917814 -0.0003198  0.0040678
  270 -0.0950982 -0.0000339  0.0081548
  271 -0.0873711 -0.0001114  0.0155800
  272 -0.1002911 -0.0003515  0.0040968
  273 -0.1088483 -0.0003845  0.0041134
  274 -0.1030681 -0.0000160  0.0081906
  275 -0.0945152 -0.0000584  0.0156648
  276 -0.0795686 -0.0002400  0.0221557
  277 -0.0859412 -0.0001317  0.0222926
  278 -0.0773335 -0.0002392  0.0281195
  279 -0.0717146 -0.0004178  0.0279471
  280 -0.0923192 -0.0000410  0.0223515
  281 -0.1016887 -0.0000121  0.0157006
  282 -0.1088935  0.0000181  0.0157101
  283 -0.0987571  0.0000227  0.0223828
  284 -0.0886503  0.0000155  0.0282538
  285 -0.0829757 -0.0000895  0.0282127
  286 -0.1110679  2.22e-006  0.0082065
  287 -0.1190807  0.0000115  0.0082029
  288 -0.1174267 -0.0004178  0.0041173
  289 -0.1260061 -0.0004520  0.0041142
  290 -0.1270889  0.0000230  0.0081890
  291 -0.1160957  0.0000451  0.0156882
  292 -0.1345707 -0.0004859  0.0041033
  293 -0.1431100 -0.0005205  0.0040898
  294 -0.1350846  0.0000257  0.0081638
  295 -0.1233074  0.0000581  0.0156554
  296 -0.1051696  0.0000749  0.0223600
  297 -0.1116281  0.0001051  0.0223308
  298 -0.1000217  0.0001532  0.0282132
  299 -0.0943260  0.0001029  0.0282469
  300 -0.1180406  0.0001300  0.0222651
  301 -0.1304975  0.0000715  0.0156041
  302 -0.1376862  0.0000729  0.0155526
  303 -0.1244939  0.0001374  0.0222078
  304 -0.1114035  0.0002097  0.0280831
  305 -0.1057058  0.0001966  0.0281527
  306 -0.1430572  0.0000325  0.0081353
  307 -0.1510050  0.0000308  0.0081012
  308 -0.1516166 -0.0005544  0.0040720
  309 -0.1600866 -0.0005889  0.0040545
  310 -0.1589219  0.0000349  0.0080684
  311 -0.1448433  0.0000779  0.0154913
  312 -0.1685180 -0.0006224  0.0040351
  313 -0.1769112 -0.0006564  0.0040176
  314 -0.1668108  0.0000304  0.0080335
  315 -0.1519957  0.0000723  0.0154363
  316 -0.1308880  0.0001453  0.0221259
  317 -0.1373235  0.0001390  0.0220615
  318 -0.1227719  0.0002155  0.0279209
  319 -0.1170820  0.0002251  0.0280010
  320 -0.1436912  0.0001377  0.0219794
  321 -0.1591126  0.0000730  0.0153763
  322 -0.1662258  0.0000637  0.0153262
  323 -0.1501047  0.0001243  0.0219197
  324 -0.1341164  0.0001946  0.0277605
  325 -0.1284382  0.0002160  0.0278367
  326 -0.1746681  0.0000332  0.0080024
  327 -0.1824991  0.0000272  0.0079709
  328 -0.1852671 -0.0006894  0.0039995
  329 -0.1935884 -0.0007228  0.0039842
  330 -0.1903015  0.0000297  0.0079444
  331 -0.1733031  0.0000628  0.0152735
  332 -0.2018775 -0.0007551  0.0039688
  333 -0.2101379 -0.0007880  0.0039564
  334 -0.1980818  0.0000230  0.0079182
  335 -0.1803803  0.0000521  0.0152319
  336 -0.1564447  0.0001192  0.0218458
  337 -0.1628366  0.0001030  0.0217965
  338 -0.1454340  0.0001621  0.0276193
  339 -0.1397685  0.0001885  0.0276845
  340 -0.1691509  0.0000975  0.0217342
  341 -0.1874228  0.0000513  0.0151886
  342 -0.1944697  0.0000403  0.0151566
  343 -0.1755242  0.0000810  0.0216967
  344 -0.1567265  0.0001280  0.0275038
  345 -0.1510724  0.0001552  0.0275559
  346 -0.2058378  0.0000258  0.0078973
  347 -0.2135769  0.0000189  0.0078766
  348 -0.2183723 -0.0008196  0.0039440
  349 -0.2265843 -0.0008521  0.0039347
  350 -0.2212964  0.0000223  0.0078610
  351 -0.2014835  0.0000405  0.0151226
  352 -0.2347766 -0.0008832  0.0039252
  353 -0.2429523 -0.0009153  0.0039186
  354 -0.2290038  0.0000153  0.0078454
  355 -0.2085065  0.0000299  0.0150994
  356 -0.1818165  0.0000769  0.0216463
  357 -0.1881749  0.0000612  0.0216202
  358 -0.1679971  0.0000968  0.0274145
  359 -0.1623525  0.0001229  0.0274536
  360 -0.1944491  0.0000592  0.0215804
  361 -0.2154981  0.0000314  0.0150736
  362 -0.2225031  0.0000214  0.0150579
  363 -0.2007966  0.0000449  0.0215641
  364 -0.1792499  0.0000711  0.0273484
  365 -0.1736129  0.0000951  0.0273765
  366 -0.2366958  0.0000194  0.0078344
  367 -0.2443800  0.0000124  0.0078229
  368 -0.2511134 -0.0009460  0.0039115
  369 -0.2592629 -0.0009778  0.0039071
  370 -0.2520522  0.0000173  0.0078156
  371 -0.2294781  0.0000242  0.0150388
  372 -0.2674022 -0.0010082  0.0039020
  373 -0.2755337 -0.0010398  0.0038993
  374 -0.2597200  0.0000103  0.0078075
  375 -0.2364703  0.0000148  0.0150290
  376 -0.2070564  0.0000453  0.0215331
  377 -0.2133965  0.0000323  0.0215245
  378 -0.1904888  0.0000508  0.0273015
  379 -0.1848574  0.0000729  0.0273204
  380 -0.2196452  0.0000348  0.0215004
  381 -0.2434332  0.0000190  0.0150150
  382 -0.2504168  9.97e-006  0.0150096
  383 -0.2259806  0.0000231  0.0214977
  384 -0.2017175  0.0000360  0.0272693
  385 -0.1960900  0.0000563  0.0272815
  386 -0.2673786  0.0000159  0.0078030
  387 -0.2750353  8.82e-006  0.0077972
  388 -0.2836581 -0.0010701  0.0038956
  389 -0.2917776 -0.0011015  0.0038941
  390 -0.2826848  0.0000150  0.0077948
  391 -0.2573712  0.0000153  0.0149994
  392 -0.2998925 -0.0011316  0.0038915
  393 -0.3080044 -0.0011630  0.0038909
  394 -0.2903344  7.88e-006  0.0077907
  395 -0.2643492  6.57e-006  0.0149971
  396 -0.2322206  0.0000275  0.0214787
  397 -0.2385537  0.0000165  0.0214803
  398 -0.2129386  0.0000253  0.0272483
  399 -0.2073138  0.0000443  0.0272552
  400 -0.2447870  0.0000225  0.0214649
  401 -0.2712978  0.0000129  0.0149896
  402 -0.2782724  4.28e-006  0.0149896
  403 -0.2511194  0.0000122  0.0214696
  404 -0.2241547  0.0000182  0.0272350
  405 -0.2185314  0.0000364  0.0272385
  406 -0.2979780  0.0000147  0.0077897
  407 -0.3056232  7.35e-006  0.0077869
  408 -0.3161133 -0.0011929  0.0038891
  409 -0.3242207 -0.0012243  0.0038890
  410 -0.3132633  0.0000147  0.0077868
  411 -0.2852172  0.0000114  0.0149839
  412 -0.3323262 -0.0012542  0.0038877
  413 -0.3404311 -0.0012855  0.0038880
  414 -0.3209061  7.12e-006  0.0077847
  415 -0.2921900  2.80e-006  0.0149853
  416 -0.2573475  0.0000195  0.0214566
  417 -0.2636803  9.35e-006  0.0214633
  418 -0.2353672  0.0000134  0.0272272
  419 -0.2297447  0.0000313  0.0272282
  420 -0.2699042  0.0000177  0.0214521
  421 -0.2991322  0.0000107  0.0149808
  422 -0.3061044  1.91e-006  0.0149831
  423 -0.2762383  7.75e-006  0.0214600
  424 -0.2465776  0.0000108  0.0272230
  425 -0.2409552  0.0000284  0.0272225
  426 -0.3285442  0.0000149  0.0077853
  427 -0.3361857  7.10e-006  0.0077837
  428 -0.3485348 -0.0013154  0.0038870
  429 -0.3566385 -0.0013467  0.0038875
  430 -0.3438228  0.0000153  0.0077847
  431 -0.3130448  0.0000104  0.0149793
  432 -0.3647415 -0.0013765  0.0038867
  433 -0.3728447 -0.0014079  0.0038874
