Výsledky

Monitory po kroku

Specifikace monitoru
Velièina: Reactions - Dof(2)
Zadané umístìní: X: 0.3000 [m], Y: -0.0500 [m], Uzel sítì
Dopoètené umístìní: X: 0.3000 [m], Y: -0.0500 [m], Uzel sítì 7
Výsledky v monitorovacím bodì
 Hodnoty pøenásobeny koeficientem 1.000 [-]
-----------------
 Krok     Hodnota
             [MN]
-----------------
    1   1.208E+00
    2   1.833E+00
    3   1.860E+00
    4   1.886E+00
    5   1.913E+00
    6   1.940E+00
    7   1.966E+00
    8   1.993E+00
    9   2.020E+00
   10   2.046E+00
   11   2.073E+00
   12   2.100E+00
   13   2.127E+00
   14   2.153E+00
   15   2.180E+00
   16   2.207E+00
   17   2.233E+00
   18   2.260E+00
   19   2.287E+00
   20   2.313E+00
   21   2.340E+00
   22   2.367E+00
   23   2.394E+00
   24   2.420E+00
   25   2.447E+00
   26   2.474E+00
   27   2.500E+00
   28   2.527E+00
   29   2.554E+00
   30   2.580E+00
   31   2.607E+00
   32   2.634E+00
   33   2.661E+00
   34   2.687E+00
   35   2.714E+00
   36   2.741E+00
   37   2.767E+00
   38   2.794E+00
   39   2.821E+00
   40   2.847E+00
   41   2.874E+00
   42   2.901E+00
   43   2.927E+00
   44   2.954E+00
   45   2.981E+00
   46   3.007E+00
   47   3.034E+00
   48   3.061E+00
   49   3.087E+00
   50   3.114E+00
   51   3.141E+00
   52   3.168E+00
   53   3.194E+00
   54   3.221E+00
   55   3.247E+00
   56   3.274E+00
   57   3.300E+00
   58   3.327E+00
   59   3.354E+00
   60   3.380E+00
   61   3.407E+00
   62   3.434E+00
   63   3.460E+00
   64   3.485E+00
   65   3.511E+00
   66   3.536E+00
   67   3.562E+00
   68   3.587E+00
   69   3.606E+00
   70   3.624E+00
   71   3.650E+00
   72   3.673E+00
   73   3.694E+00
   74   3.718E+00
   75   3.744E+00
   76   3.766E+00
   77   3.786E+00
   78   3.810E+00
   79   3.832E+00
   80   3.853E+00
   81   3.875E+00
   82   3.891E+00
   83   3.914E+00
   84   3.935E+00
   85   3.941E+00
   86   3.952E+00
   87   3.962E+00
   88   3.986E+00
   89   3.988E+00
   90   4.013E+00
   91   4.005E+00
   92   4.030E+00
   93   4.023E+00
   94   4.028E+00


Specifikace monitoru
Velièina: Displacements - x(2)
Zadané umístìní: X: 9.7800 [m], Y: 0.0200 [m], Uzel sítì
Dopoètené umístìní: X: 9.7800 [m], Y: 0.0200 [m], Uzel sítì 2302
Výsledky v monitorovacím bodì
 Hodnoty pøenásobeny koeficientem 1.000 [-]
-----------------
 Krok     Hodnota
              [m]
-----------------
    1   4.250E-03
    2  -4.015E-03
    3  -4.464E-03
    4  -4.910E-03
    5  -5.357E-03
    6  -5.804E-03
    7  -6.252E-03
    8  -6.701E-03
    9  -7.150E-03
   10  -7.600E-03
   11  -8.051E-03
   12  -8.502E-03
   13  -8.954E-03
   14  -9.407E-03
   15  -9.861E-03
   16  -1.032E-02
   17  -1.077E-02
   18  -1.123E-02
   19  -1.168E-02
   20  -1.214E-02
   21  -1.260E-02
   22  -1.306E-02
   23  -1.352E-02
   24  -1.398E-02
   25  -1.444E-02
   26  -1.490E-02
   27  -1.536E-02
   28  -1.582E-02
   29  -1.629E-02
   30  -1.675E-02
   31  -1.722E-02
   32  -1.769E-02
   33  -1.816E-02
   34  -1.864E-02
   35  -1.911E-02
   36  -1.959E-02
   37  -2.007E-02
   38  -2.055E-02
   39  -2.103E-02
   40  -2.151E-02
   41  -2.199E-02
   42  -2.248E-02
   43  -2.296E-02
   44  -2.344E-02
   45  -2.393E-02
   46  -2.442E-02
   47  -2.492E-02
   48  -2.542E-02
   49  -2.593E-02
   50  -2.645E-02
   51  -2.698E-02
   52  -2.753E-02
   53  -2.810E-02
   54  -2.977E-02
   55  -3.073E-02
   56  -3.144E-02
   57  -3.210E-02
   58  -3.330E-02
   59  -3.408E-02
   60  -3.528E-02
   61  -3.602E-02
   62  -3.683E-02
   63  -3.876E-02
   64  -4.029E-02
   65  -4.204E-02
   66  -4.391E-02
   67  -4.489E-02
   68  -4.790E-02
   69  -5.019E-02
   70  -5.232E-02
   71  -5.357E-02
   72  -5.689E-02
   73  -5.864E-02
   74  -6.079E-02
   75  -6.225E-02
   76  -6.558E-02
   77  -6.740E-02
   78  -6.928E-02
   79  -7.187E-02
   80  -7.403E-02
   81  -7.628E-02
   82  -7.910E-02
   83  -8.107E-02
   84  -8.402E-02
   85  -8.696E-02
   86  -8.911E-02
   87  -9.177E-02
   88  -9.423E-02
   89  -9.748E-02
   90  -1.000E-01
   91  -1.033E-01
   92  -1.058E-01
   93  -1.090E-01
   94  -1.105E-01


Specifikace monitoru
Velièina: Reactions - Dof(2)
Zadané umístìní: X: 19.3000 [m], Y: -0.0500 [m], Uzel sítì
Dopoètené umístìní: X: 19.3000 [m], Y: -0.0500 [m], Uzel sítì 4887
Výsledky v monitorovacím bodì
 Hodnoty pøenásobeny koeficientem 1.000 [-]
-----------------
 Krok     Hodnota
             [MN]
-----------------
    1   1.208E+00
    2   1.833E+00
    3   1.859E+00
    4   1.885E+00
    5   1.911E+00
    6   1.937E+00
    7   1.964E+00
    8   1.990E+00
    9   2.016E+00
   10   2.042E+00
   11   2.068E+00
   12   2.094E+00
   13   2.121E+00
   14   2.147E+00
   15   2.173E+00
   16   2.199E+00
   17   2.225E+00
   18   2.251E+00
   19   2.277E+00
   20   2.304E+00
   21   2.330E+00
   22   2.356E+00
   23   2.382E+00
   24   2.408E+00
   25   2.434E+00
   26   2.461E+00
   27   2.487E+00
   28   2.513E+00
   29   2.539E+00
   30   2.565E+00
   31   2.591E+00
   32   2.617E+00
   33   2.644E+00
   34   2.670E+00
   35   2.696E+00
   36   2.722E+00
   37   2.748E+00
   38   2.774E+00
   39   2.801E+00
   40   2.827E+00
   41   2.853E+00
   42   2.879E+00
   43   2.905E+00
   44   2.931E+00
   45   2.957E+00
   46   2.983E+00
   47   3.010E+00
   48   3.036E+00
   49   3.062E+00
   50   3.088E+00
   51   3.114E+00
   52   3.140E+00
   53   3.166E+00
   54   3.192E+00
   55   3.218E+00
   56   3.244E+00
   57   3.271E+00
   58   3.297E+00
   59   3.323E+00
   60   3.349E+00
   61   3.375E+00
   62   3.401E+00
   63   3.427E+00
   64   3.452E+00
   65   3.477E+00
   66   3.501E+00
   67   3.527E+00
   68   3.552E+00
   69   3.569E+00
   70   3.587E+00
   71   3.612E+00
   72   3.635E+00
   73   3.656E+00
   74   3.679E+00
   75   3.705E+00
   76   3.726E+00
   77   3.746E+00
   78   3.770E+00
   79   3.792E+00
   80   3.812E+00
   81   3.834E+00
   82   3.849E+00
   83   3.871E+00
   84   3.891E+00
   85   3.898E+00
   86   3.909E+00
   87   3.919E+00
   88   3.939E+00
   89   3.944E+00
   90   3.964E+00
   91   3.961E+00
   92   3.980E+00
   93   3.978E+00
   94   3.983E+00

