Specifikace monitoru
Veličina: Displacements - x(2)
Zadané umístění: X: 9.7800 [m], Y: 0.0200 [m], Uzel sítě
Dopočtené umístění: X: 9.7800 [m], Y: 0.0200 [m], Uzel sítě 2302
Výsledky v monitorovacím bodě
 Hodnoty přenásobeny koeficientem 1.000 [-]
-----------------
 Krok     Hodnota
              [m]
-----------------
    1   4.250E-03
    2  -4.015E-03
    3  -4.464E-03
    4  -4.910E-03
    5  -5.357E-03
    6  -5.804E-03
    7  -6.252E-03
    8  -6.701E-03
    9  -7.150E-03
   10  -7.600E-03
   11  -8.051E-03
   12  -8.502E-03
   13  -8.954E-03
   14  -9.407E-03
   15  -9.861E-03
   16  -1.032E-02
   17  -1.077E-02
   18  -1.123E-02
   19  -1.168E-02
   20  -1.214E-02
   21  -1.260E-02
   22  -1.306E-02
   23  -1.352E-02
   24  -1.398E-02
   25  -1.444E-02
   26  -1.490E-02
   27  -1.536E-02
   28  -1.582E-02
   29  -1.629E-02
   30  -1.675E-02
   31  -1.722E-02
   32  -1.769E-02
   33  -1.816E-02
   34  -1.864E-02
   35  -1.911E-02
   36  -1.959E-02
   37  -2.007E-02
   38  -2.055E-02
   39  -2.103E-02
   40  -2.151E-02
   41  -2.199E-02
   42  -2.248E-02
   43  -2.296E-02
   44  -2.344E-02
   45  -2.393E-02
   46  -2.442E-02
   47  -2.492E-02
   48  -2.542E-02
   49  -2.593E-02
   50  -2.645E-02
   51  -2.698E-02
   52  -2.753E-02
   53  -2.810E-02
   54  -2.977E-02
   55  -3.073E-02
   56  -3.144E-02
   57  -3.210E-02
   58  -3.330E-02
   59  -3.408E-02
   60  -3.528E-02
   61  -3.602E-02
   62  -3.683E-02
   63  -3.876E-02
   64  -4.029E-02
   65  -4.204E-02
   66  -4.391E-02
   67  -4.489E-02
   68  -4.790E-02
   69  -5.019E-02
   70  -5.232E-02
   71  -5.357E-02
   72  -5.689E-02
   73  -5.864E-02
   74  -6.079E-02
   75  -6.225E-02
   76  -6.558E-02
   77  -6.740E-02
   78  -6.928E-02
   79  -7.187E-02
   80  -7.403E-02
   81  -7.628E-02
   82  -7.910E-02
   83  -8.107E-02
   84  -8.402E-02
   85  -8.696E-02
   86  -8.911E-02
   87  -9.177E-02
   88  -9.423E-02
   89  -9.748E-02
   90  -1.000E-01
   91  -1.033E-01
   92  -1.058E-01
   93  -1.090E-01
   94  -1.105E-01
