Specifikace monitoru
Veliďż˝ina: Reactions - Dof(2)
Zadanďż˝ umďż˝stďż˝nďż˝: X: 19.3000 [m], Y: -0.0500 [m], Uzel sďż˝tďż˝
Dopoďż˝tenďż˝ umďż˝stďż˝nďż˝: X: 19.3000 [m], Y: -0.0500 [m], Uzel sďż˝tďż˝ 4887
Vďż˝sledky v monitorovacďż˝m bodďż˝
 Hodnoty pďż˝enďż˝sobeny koeficientem 1.000 [-]
-----------------
 Krok     Hodnota
             [MN]
-----------------
    1   1.208E+00
    2   1.833E+00
    3   1.859E+00
    4   1.885E+00
    5   1.911E+00
    6   1.937E+00
    7   1.964E+00
    8   1.990E+00
    9   2.016E+00
   10   2.042E+00
   11   2.068E+00
   12   2.094E+00
   13   2.121E+00
   14   2.147E+00
   15   2.173E+00
   16   2.199E+00
   17   2.225E+00
   18   2.251E+00
   19   2.277E+00
   20   2.304E+00
   21   2.330E+00
   22   2.356E+00
   23   2.382E+00
   24   2.408E+00
   25   2.434E+00
   26   2.461E+00
   27   2.487E+00
   28   2.513E+00
   29   2.539E+00
   30   2.565E+00
   31   2.591E+00
   32   2.617E+00
   33   2.644E+00
   34   2.670E+00
   35   2.696E+00
   36   2.722E+00
   37   2.748E+00
   38   2.774E+00
   39   2.801E+00
   40   2.827E+00
   41   2.853E+00
   42   2.879E+00
   43   2.905E+00
   44   2.931E+00
   45   2.957E+00
   46   2.983E+00
   47   3.010E+00
   48   3.036E+00
   49   3.062E+00
   50   3.088E+00
   51   3.114E+00
   52   3.140E+00
   53   3.166E+00
   54   3.192E+00
   55   3.218E+00
   56   3.244E+00
   57   3.271E+00
   58   3.297E+00
   59   3.323E+00
   60   3.349E+00
   61   3.375E+00
   62   3.401E+00
   63   3.427E+00
   64   3.452E+00
   65   3.477E+00
   66   3.501E+00
   67   3.527E+00
   68   3.552E+00
   69   3.569E+00
   70   3.587E+00
   71   3.612E+00
   72   3.635E+00
   73   3.656E+00
   74   3.679E+00
   75   3.705E+00
   76   3.726E+00
   77   3.746E+00
   78   3.770E+00
   79   3.792E+00
   80   3.812E+00
   81   3.834E+00
   82   3.849E+00
   83   3.871E+00
   84   3.891E+00
   85   3.898E+00
   86   3.909E+00
   87   3.919E+00
   88   3.939E+00
   89   3.944E+00
   90   3.964E+00
   91   3.961E+00
   92   3.980E+00
   93   3.978E+00
   94   3.983E+00
