m	slope	intercept
3	5.115225219	-28.71819524
4	6.342899289	-34.52877217
5	7.521191303	-39.95034204
6	8.722952667	-49.93251184
7	9.789886553	-49.99868004
8	10.89566755	-54.73167016
9	11.98824671	-59.3153722
10	13.07032604	-63.77259289
11	14.14386034	-68.12089939
12	15.21030905	-72.37417121
13	16.2707903	-76.5436037
14	17.32617939	-80.63838444
15	18.3771742	-84.66616445
20	23.58291199	-103.9961842
24	27.70647787	-118.7206027
40	44.01550708	-173.6841626
50	54.12878025	-206.0658784
100	104.3617111	-357.7755788
