N                   l2                  I1                  I2                  I3                  q                   F1                  F2                  F3                  Ma                  M1                  M2                  M3                  M4                  M5                  X1                  X2                  
==============================================================================================================
1                   2.0                 4e-005              4e-005              1e-005              7500                2600                16000               2000                -5600.0             7466.66666667       -9600.0             -5000.0             -3000.0             -1.81898940355e-012 836.325966851       1302.84300184       
2                   2.0                 4e-005              4e-005              3e-005              3500                6600                13000               4500                1650.0              1792.85714286       -22350.0            -11250.0            -6750.0             -3.63797880709e-012 -186.032138443      2247.87932633       
3                   3.5                 2e-005              1e-005              2e-005              4500                1600                14000               1500                9700.0              11477.7777778       -10300.0            -4875.0             -2250.0             0.0                 1470.84789683       2800.40928448       
4                   2.0                 1e-005              3e-005              4e-005              4500                6100                15000               4500                2150.0              3150.0              -21850.0            -11250.0            -6750.0             3.63797880709e-012  914.812860951       4004.03015327       
5                   2.5                 1e-005              4e-005              1e-005              5000                1600                18000               1000                26000.0             26400.0             -6000.0             -2750.0             -1500.0             0.0                 4934.19525277       5033.14920813       
6                   2.5                 4e-005              1e-005              2e-005              5000                8100                14000               2000                -2125.0             1475.0              -18125.0            -5500.0             -3000.0             0.0                 -643.845412549      987.41448244        
7                   3.0                 3e-005              4e-005              3e-005              6500                4600                16000               2500                -6150.0             1542.30769231       -18150.0            -7500.0             -3750.0             -3.63797880709e-012 -192.693560248      1447.73113547       
8                   3.0                 1e-005              1e-005              1e-005              4000                1600                14000               2000                12600.0             13100.0             -11400.0            -6000.0             -3000.0             0.0                 2008.78448455       3346.92750467       
9                   4.0                 4e-005              1e-005              4e-005              7000                4100                19000               2500                -1950.0             3835.71428571       -21950.0            -8750.0             -3750.0             0.0                 -543.510918675      1773.66669804       
10                  2.0                 2e-005              3e-005              3e-005              6500                600                 15000               3000                -3100.0             6207.69230769       -11100.0            -7500.0             -4500.0             1.81898940355e-012  1093.17768595       2201.31508264       
11                  2.0                 1e-005              1e-005              3e-005              3500                9100                11000               1000                3400.0              4685.71428571       -12600.0            -2500.0             -1500.0             0.0                 918.556829511       2143.01470588       
12                  2.0                 2e-005              4e-005              4e-005              5000                3100                19000               1000                29400.0             29500.0             -6600.0             -2500.0             -1500.0             0.0                 6350.49235403       6687.31898749       
