N	l2 [m]	I1 [m4]	I2 [m4]	I3 [m4]	q [N/m]	F1 [N]	F2 [N]	F3 [N]
==========
1	3.5	3.00E-05	2.00E-05	1.00E-05	5500	100	13000	1000
2	3.5	2.00E-05	1.00E-05	1.00E-05	5500	9600	17000	1000
3	2	4.00E-05	3.00E-05	4.00E-05	4500	5600	14000	3000
4	2.5	1.00E-05	3.00E-05	4.00E-05	6500	7100	17000	1000
5	2.5	2.00E-05	3.00E-05	2.00E-05	5000	7600	19000	3500
6	2	1.00E-05	2.00E-05	1.00E-05	5500	5600	17000	3000
7	2	3.00E-05	4.00E-05	4.00E-05	6000	100	14000	1500
8	2.5	3.00E-05	1.00E-05	4.00E-05	7000	600	15000	2000
9	3.5	2.00E-05	3.00E-05	3.00E-05	3500	1600	11000	1500
10	2	1.00E-05	4.00E-05	1.00E-05	3000	100	9000	2000
11	3.5	4.00E-05	3.00E-05	4.00E-05	5500	600	19000	3000
12	2	2.00E-05	4.00E-05	1.00E-05	6500	1100	19000	6500
13	2	2.00E-05	4.00E-05	4.00E-05	5500	3600	19000	1500
14	3	3.00E-05	3.00E-05	1.00E-05	5000	1100	19000	3500
15	2	1.00E-05	4.00E-05	1.00E-05	6000	1600	18000	5000
16	2	3.00E-05	3.00E-05	3.00E-05	4500	6100	17000	5000
17	2	2.00E-05	2.00E-05	2.00E-05	6500	1600	17000	1500
18	2	2.00E-05	1.00E-05	2.00E-05	5500	1600	13000	1500
19	2	2.00E-05	2.00E-05	3.00E-05	4500	9600	14000	2000
20	3	2.00E-05	2.00E-05	1.00E-05	3500	2100	12000	1000
21	3.5	4.00E-05	4.00E-05	4.00E-05	4500	4100	14000	1000
22	2	4.00E-05	2.00E-05	3.00E-05	4000	2100	14000	4500
23	3	2.00E-05	1.00E-05	3.00E-05	5500	600	15000	3500
24	4	4.00E-05	2.00E-05	1.00E-05	4000	6100	12000	1000
25	3.5	4.00E-05	2.00E-05	3.00E-05	5500	1100	18000	1500
26	2	3.00E-05	2.00E-05	1.00E-05	7500	4100	19000	1000
27	3	3.00E-05	1.00E-05	3.00E-05	6000	4100	18000	2500
28	4	1.00E-05	2.00E-05	4.00E-05	5500	1100	11000	1500
29	2.5	3.00E-05	3.00E-05	2.00E-05	5500	100	17000	3500
30	2.5	3.00E-05	3.00E-05	1.00E-05	7500	7600	18000	3000
31	3	3.00E-05	2.00E-05	4.00E-05	5500	5600	18000	2500
32	2.5	3.00E-05	1.00E-05	2.00E-05	4500	600	17000	1000
33	2	3.00E-05	1.00E-05	2.00E-05	5000	600	18000	3500
34	2	1.00E-05	4.00E-05	3.00E-05	4000	7100	13000	1000
35	2	4.00E-05	4.00E-05	1.00E-05	5000	3600	18000	2500
36	3.5	2.00E-05	3.00E-05	3.00E-05	7000	100	16000	2000
37	2.5	4.00E-05	2.00E-05	2.00E-05	4500	5100	15000	2000
38	2.5	2.00E-05	2.00E-05	3.00E-05	4500	1100	13000	3500
39	3.5	2.00E-05	4.00E-05	1.00E-05	5500	600	19000	2500
40	2.5	2.00E-05	2.00E-05	4.00E-05	7500	4100	19000	1000
41	4	2.00E-05	2.00E-05	4.00E-05	4000	100	9000	1000
42	2.5	3.00E-05	2.00E-05	4.00E-05	5000	2100	12000	1000
43	4	1.00E-05	3.00E-05	3.00E-05	7000	2600	18000	3000
44	4	1.00E-05	2.00E-05	4.00E-05	5500	2600	13000	1000
45	3	3.00E-05	1.00E-05	4.00E-05	5500	5600	18000	2000
46	3	1.00E-05	3.00E-05	4.00E-05	5000	2600	19000	3500
47	2	3.00E-05	4.00E-05	1.00E-05	2500	3100	9000	1500
48	2.5	1.00E-05	3.00E-05	2.00E-05	3500	600	11000	1000
49	3	2.00E-05	3.00E-05	3.00E-05	6000	8100	18000	1500
50	2	2.00E-05	3.00E-05	3.00E-05	4000	7100	14000	1000
51	2	2.00E-05	1.00E-05	2.00E-05	4500	3100	17000	4500
52	2	1.00E-05	4.00E-05	4.00E-05	4000	4600	15000	5500
53	2	2.00E-05	1.00E-05	1.00E-05	7500	6600	18000	1000
54	3	2.00E-05	3.00E-05	3.00E-05	9000	2600	19000	3000
55	3	1.00E-05	3.00E-05	4.00E-05	7000	1600	19000	3000
56	2	4.00E-05	2.00E-05	1.00E-05	6500	2600	17000	3000
57	2.5	2.00E-05	4.00E-05	4.00E-05	7000	600	18000	1000
58	3.5	3.00E-05	2.00E-05	1.00E-05	4000	600	10000	1000
59	2	2.00E-05	4.00E-05	1.00E-05	5500	2600	19000	6000
60	2	3.00E-05	4.00E-05	3.00E-05	5000	2100	14000	4000
61	3	1.00E-05	1.00E-05	2.00E-05	3500	600	13000	3500
62	2	2.00E-05	4.00E-05	2.00E-05	6000	7100	17000	1500
63	2.5	4.00E-05	1.00E-05	3.00E-05	4500	600	15000	1500
64	2.5	3.00E-05	2.00E-05	3.00E-05	7500	3100	16000	1500
65	2	4.00E-05	3.00E-05	1.00E-05	6500	2100	16000	3000
66	2	4.00E-05	3.00E-05	2.00E-05	7000	3100	19000	3500
67	2.5	4.00E-05	3.00E-05	4.00E-05	3500	5100	12000	2000
68	3	4.00E-05	1.00E-05	4.00E-05	5000	3100	19000	3500
69	2.5	2.00E-05	4.00E-05	3.00E-05	5500	3600	19000	2000
70	2	2.00E-05	1.00E-05	2.00E-05	7500	1600	19000	4000
71	4	3.00E-05	3.00E-05	3.00E-05	5500	1100	12000	1000
72	2.5	4.00E-05	1.00E-05	4.00E-05	7500	5600	18000	1000
73	2.5	1.00E-05	4.00E-05	4.00E-05	6500	7600	17000	2500
74	2	2.00E-05	3.00E-05	1.00E-05	5500	5600	18000	5000
75	2	1.00E-05	1.00E-05	2.00E-05	5500	6100	16000	4000
76	2	4.00E-05	3.00E-05	4.00E-05	8000	4100	19000	3500
77	2	4.00E-05	4.00E-05	4.00E-05	6500	9600	17000	1000
78	2	3.00E-05	4.00E-05	1.00E-05	7000	600	18000	1500
79	3	3.00E-05	2.00E-05	4.00E-05	7000	100	15000	3000
80	3	3.00E-05	4.00E-05	2.00E-05	4000	2100	13000	2500
81	2.5	3.00E-05	2.00E-05	3.00E-05	5500	9100	18000	4500
82	2.5	1.00E-05	3.00E-05	4.00E-05	4000	8100	12000	1000
83	2.5	4.00E-05	3.00E-05	3.00E-05	7000	3100	18000	2000
84	3	2.00E-05	4.00E-05	2.00E-05	7500	1100	16000	1500
85	2	1.00E-05	3.00E-05	4.00E-05	4500	3100	17000	4000
86	2	3.00E-05	2.00E-05	2.00E-05	4000	1100	15000	6000
87	2	2.00E-05	4.00E-05	2.00E-05	3500	5600	13000	3000
88	2	1.00E-05	3.00E-05	3.00E-05	6500	8100	18000	4000
89	2.5	1.00E-05	2.00E-05	4.00E-05	5500	1100	13000	2000
90	4	1.00E-05	2.00E-05	4.00E-05	5000	100	19000	2000
91	2	1.00E-05	1.00E-05	1.00E-05	4500	7100	15000	1500
92	2.5	2.00E-05	2.00E-05	3.00E-05	5000	5600	13000	1000
93	3.5	4.00E-05	3.00E-05	4.00E-05	4000	100	12000	1000
94	2	4.00E-05	3.00E-05	4.00E-05	8000	600	18000	2000
95	3	4.00E-05	1.00E-05	3.00E-05	5500	1600	17000	1000
96	2.5	2.00E-05	2.00E-05	2.00E-05	5500	1600	17000	3500
97	3.5	3.00E-05	3.00E-05	4.00E-05	3500	100	10000	1000
98	3	3.00E-05	2.00E-05	2.00E-05	6500	7100	18000	1500
99	2	2.00E-05	1.00E-05	2.00E-05	5000	5600	17000	4000
100	2	3.00E-05	4.00E-05	3.00E-05	6500	3600	19000	6000
101	2	4.00E-05	2.00E-05	4.00E-05	5000	8600	18000	2000
102	2	2.00E-05	3.00E-05	2.00E-05	5000	9100	19000	2000
103	3.5	4.00E-05	4.00E-05	2.00E-05	4000	1100	14000	1500
104	2.5	1.00E-05	2.00E-05	4.00E-05	5500	8600	18000	3500
105	4	1.00E-05	2.00E-05	3.00E-05	8500	2100	18000	1500
106	3	1.00E-05	3.00E-05	1.00E-05	7500	600	19000	1000
107	2	1.00E-05	3.00E-05	1.00E-05	4500	5100	15000	3500
108	3	2.00E-05	3.00E-05	1.00E-05	5000	600	11000	1500
109	3.5	3.00E-05	3.00E-05	3.00E-05	4500	100	16000	1000
110	2	3.00E-05	1.00E-05	1.00E-05	6500	2600	17000	2500
111	2	2.00E-05	1.00E-05	4.00E-05	5500	6600	16000	2500
112	4	2.00E-05	1.00E-05	2.00E-05	8500	3600	18000	1500
113	3.5	3.00E-05	4.00E-05	1.00E-05	8000	100	17000	1500
114	2	1.00E-05	3.00E-05	2.00E-05	6500	100	19000	3000
115	3.5	1.00E-05	4.00E-05	4.00E-05	5500	100	17000	2000
116	2	3.00E-05	2.00E-05	1.00E-05	5500	1600	19000	4000
117	2	1.00E-05	3.00E-05	2.00E-05	5500	4100	13000	1500
118	2.5	3.00E-05	1.00E-05	2.00E-05	5000	1100	13000	1500
119	3.5	2.00E-05	1.00E-05	4.00E-05	7000	100	18000	1500
120	2.5	1.00E-05	3.00E-05	4.00E-05	3500	4600	11000	1500
121	2	3.00E-05	4.00E-05	4.00E-05	5000	2600	17000	2500
122	2	4.00E-05	1.00E-05	3.00E-05	5500	6600	19000	5500
123	3	2.00E-05	4.00E-05	3.00E-05	5500	3600	19000	1000
124	3	1.00E-05	1.00E-05	1.00E-05	5000	3100	15000	1000
125	2	4.00E-05	2.00E-05	2.00E-05	5000	4600	18000	6000
126	2	1.00E-05	1.00E-05	4.00E-05	6000	3100	18000	2000
127	3	1.00E-05	4.00E-05	1.00E-05	6000	4100	19000	3500
128	2	3.00E-05	1.00E-05	3.00E-05	7000	3100	19000	4000
129	2	2.00E-05	1.00E-05	4.00E-05	3500	5100	13000	3500
