Node	Load	DX (mm)	DY (mm)	DZ (mm)	RX ([rad])	RY ([rad])	RZ ([rad])
90	vitr_zprava	-0.060658	0.505298	0.001155	-0.000001	-0.000027	0.000014
91	vitr_zprava	-0.072428	0.505355	0.000085	-0.000001	-0.000027	0.000014
92	vitr_zprava	-0.084185	0.505412	-0.000988	-0.000001	-0.000031	0.000014
93	vitr_zprava	-0.099445	0.505610	-0.002128	-0.000002	-0.000035	0.000014
94	vitr_zprava	-0.115034	0.505824	-0.003316	-0.000002	-0.000040	0.000014
95	vitr_zprava	-0.130585	0.506177	-0.004187	-0.000002	-0.000044	0.000013
96	vitr_zprava	-0.145513	0.506647	-0.004692	-0.000002	-0.000048	0.000013
97	vitr_zprava	-0.160988	0.507270	-0.004846	-0.000002	-0.000052	0.000013
98	vitr_zprava	-0.176393	0.507898	-0.005145	-0.000003	-0.000055	0.000013
99	vitr_zprava	-0.191169	0.508505	-0.005643	-0.000003	-0.000059	0.000012
100	vitr_zprava	-0.206449	0.509396	-0.005192	-0.000003	-0.000062	0.000012
101	vitr_zprava	-0.221525	0.510293	-0.004951	-0.000004	-0.000065	0.000012
102	vitr_zprava	-0.235991	0.511161	-0.005047	-0.000004	-0.000067	0.000012
103	vitr_zprava	-0.251050	0.512199	-0.004813	-0.000005	-0.000070	0.000012
104	vitr_zprava	-0.265918	0.513365	-0.004203	-0.000005	-0.000072	0.000011
105	vitr_zprava	-0.280106	0.514604	-0.003328	-0.000006	-0.000074	0.000011
106	vitr_zprava	-0.294866	0.515917	-0.002841	-0.000007	-0.000076	0.000011
107	vitr_zprava	-0.309687	0.517362	-0.002153	-0.000007	-0.000078	0.000011
108	vitr_zprava	-0.324363	0.518830	-0.001931	-0.000008	-0.000079	0.000011
109	vitr_zprava	-0.338225	0.520351	-0.001494	-0.000009	-0.000081	0.000011
110	vitr_zprava	-0.352889	0.522098	-0.000869	-0.000010	-0.000082	0.000011
111	vitr_zprava	-0.367676	0.523988	-0.000194	-0.000010	-0.000083	0.000011
112	vitr_zprava	-0.378276	0.525380	-0.000065	-0.000011	-0.000083	0.000011
113	vitr_zprava	-0.396335	0.527790	-0.000826	-0.000013	-0.000089	0.000010
114	vitr_zprava	-0.411024	0.530012	-0.000323	-0.000014	-0.000094	0.000010
115	vitr_zprava	-0.424865	0.532122	-0.000662	-0.000016	-0.000099	0.000010
116	vitr_zprava	-0.439662	0.534416	-0.001737	-0.000017	-0.000103	0.000010
117	vitr_zprava	-0.451155	0.536367	-0.001524	-0.000018	-0.000106	0.000010
118	vitr_zprava	-0.467914	0.539184	-0.002814	-0.000020	-0.000111	0.000009
119	vitr_zprava	-0.482455	0.541840	-0.002660	-0.000021	-0.000115	0.000009
120	vitr_zprava	-0.496902	0.544514	-0.003227	-0.000023	-0.000119	0.000009
121	vitr_zprava	-0.510141	0.547060	-0.003583	-0.000024	-0.000122	0.000008
122	vitr_zprava	-0.524404	0.549860	-0.004463	-0.000026	-0.000125	0.000008
123	vitr_zprava	-0.538466	0.552756	-0.004596	-0.000027	-0.000128	0.000008
124	vitr_zprava	-0.552483	0.555743	-0.004485	-0.000028	-0.000131	0.000008
125	vitr_zprava	-0.565064	0.558455	-0.005173	-0.000030	-0.000134	0.000007
126	vitr_zprava	-0.578780	0.561547	-0.005036	-0.000031	-0.000136	0.000007
127	vitr_zprava	-0.592371	0.564723	-0.004349	-0.000032	-0.000138	0.000007
128	vitr_zprava	-0.604530	0.567584	-0.004824	-0.000034	-0.000140	0.000007
129	vitr_zprava	-0.617904	0.570861	-0.004424	-0.000035	-0.000142	0.000006
130	vitr_zprava	-0.631107	0.574156	-0.004534	-0.000036	-0.000143	0.000006
131	vitr_zprava	-0.642845	0.577167	-0.004458	-0.000038	-0.000144	0.000006
132	vitr_zprava	-0.655938	0.580636	-0.003849	-0.000039	-0.000145	0.000006
133	vitr_zprava	-0.668897	0.584133	-0.003770	-0.000040	-0.000146	0.000006
134	vitr_zprava	-0.680338	0.587318	-0.003159	-0.000041	-0.000147	0.000006
135	vitr_zprava	-0.693206	0.591008	-0.002031	-0.000042	-0.000147	0.000006
136	vitr_zprava	-0.706052	0.594742	-0.001877	-0.000043	-0.000147	0.000006
137	vitr_zprava	-0.717423	0.598149	-0.001244	-0.000044	-0.000148	0.000006
138	vitr_zprava	-0.730234	0.602116	0.000293	-0.000045	-0.000147	0.000006
139	vitr_zprava	-0.743092	0.606152	0.000799	-0.000046	-0.000147	0.000006
140	vitr_zprava	-0.756023	0.610268	0.000248	-0.000047	-0.000146	0.000006
141	vitr_zprava	-0.765038	0.613209	0.000006	-0.000048	-0.000146	0.000006
142	vitr_zprava	-0.780746	0.618487	0.000244	-0.000051	-0.000151	0.000006
143	vitr_zprava	-0.793930	0.623060	0.001338	-0.000054	-0.000154	0.000006
144	vitr_zprava	-0.805694	0.627172	0.000792	-0.000056	-0.000158	0.000006
145	vitr_zprava	-0.819021	0.631966	0.001265	-0.000058	-0.000161	0.000006
146	vitr_zprava	-0.829741	0.635893	0.001660	-0.000060	-0.000164	0.000005
147	vitr_zprava	-0.844016	0.641187	0.001081	-0.000063	-0.000167	0.000005
148	vitr_zprava	-0.857311	0.646270	0.002125	-0.000065	-0.000170	0.000005
149	vitr_zprava	-0.870568	0.651398	0.002031	-0.000068	-0.000173	0.000005
150	vitr_zprava	-0.882049	0.655936	0.002497	-0.000070	-0.000175	0.000005
151	vitr_zprava	-0.895216	0.661202	0.001771	-0.000072	-0.000177	0.000005
152	vitr_zprava	-0.908262	0.666547	0.002329	-0.000074	-0.000179	0.000004
153	vitr_zprava	-0.921270	0.671968	0.002707	-0.000076	-0.000181	0.000004
154	vitr_zprava	-0.932300	0.676652	0.003365	-0.000078	-0.000182	0.000004
